𤀋	演
𤅍	漕
𤁉	漢
𣿙	漬
𣾩	漮
潊	漵
𤅻	漷
𤕯	漿
𤅅	潕
𣿳	潦
潀	潨
𤅦	潭
𤃘	潰
濇	澀
㵎	澗
𤀎	澤
𥱒	澨
𣾮	澱
𤁌	澳
𤅌	濃
𤂽	濕
𤃙	濮
𤄉	瀏
𤄗	瀑
𩕘	瀕
𤄨	瀱
𤄪	瀵
𤅭	瀼
𤅨	灂
𤆆	灰
𥨫	竈 灶
爲	爲 為
𱫝	烈
𤉻	烘
釬	焊 銲
𤑴	焞
𣠮	無
燄	燄 焰
𤉷	然
𤌼	煌
𤎵	煎
𤏯	煙
㷖	照
煑	煮
熅	熅 煴
熋	熊
𡽽	熏
鎔	鎔 熔
𤌇	熙
𤒾	熛
𤑆	熯
𤎮	熱
𤏴	熹
𤓠	燂
𤐗	燎
㷠	燐
㷼	燕
燾	燾 燽
𤒺	爆
𤕨	爾
𤖁	牂
𤗣	牒
𡘠	牢
𤘴	牧
𤚌	犀
𤜃	犉
𤜏	犡
𤜛	犯
𤝵	狂
𤞸	狟
貍	貍 狸
陜	狹
㺅	猴
蝯	猿
𤟫	獀
麞	獐
𤢙	獠
𤡯	獡
𢆽	玅
㺮	玗
𤤏	玦
𤤻	班
琅	琅 瑯
𤧪	琛
𤩣	瑂
𤨝	瑟
𤩰	瑮
𤪩	瑳
𤩹	璧
𤪹	環
𤪴	璱
㣆	瓕
𤬡	瓢
𤭰	甃
𤮔	甄
𤮺	甘
𠥄	甚
𤯓	生
畎	畎 甽
𠙹	甾
畁	畀
𪽉	畏
畱	留
𤲃	畢
𤲿	畫
𤳩	疄
𤲮	疇
𤴡	疐
𤶪	痒
𤶨	痕
癡	癡 痴
痹	痹 痺
瘉	瘉 癒
𤻸	瘥
𤺝	瘧
瘻	瘺
瘨	癲
旳	的
晧	皓
䀆	盡
𧗄	監
𥂱	盩
𥃎	盭
𥅱	省
眞	真
𨤗	眷
𥆵	眹
𥇡	睪
䀹	睫
𥋰	瞚
𥍌	瞟
𥊄	瞢
𥍗	瞫
𥌌	瞵
𥎏	矠
硏	研
𥖌	硾
盌	碗
𥔐	磕
祕	祕 秘
𥛃	神
𥛆	祲
𥜸	禫
秃	禿
秌	秋
稅	稅 税
稺	稚
稾	稿
𥢼	積
𥤢	穴
𥥺	窌
竆	窮
𥧑	窴
𥩐	竇
𡗓	立
𧫘	競
𥫡	竽
筓	笄
荅	答
𥷣	筮
𥴓	箠
𥳭	箭
𥲼	箯
筱	篠
𥴹	簀
𥶪	簎
𥵐	簝
𥸖	簟
𥳑	簡
𥷄	籋
𥵽	籌
𥷸	籍
秔	粳
𤏞	粼
糉	糉 粽 糭
餻	糕
𥽾	糟
穅	糠
稬	糯
䊸	紆
𥾨	紇
𦃃	素
𥿳	細
𦁴	紳
𦀞	絙
𦃌	綅
䌄	綆
𦂴	綱
緜	綿
𦃞	緦
𦄱	緶
縕	縕 緼
𦇢	縉
𦪝	縢
𦄲	縮
